case_id,user_prompt,attempts,functional_passes,functional_reliability_percent,performance_passes,performance_reliability_percent,overall_passes,overall_reliability_percent,minimum_latency_seconds,median_latency_seconds,p95_latency_seconds,maximum_latency_seconds,failed_run_numbers
W001,What is the current weather in Milpitas?,3,3,100.0,3,100.0,3,100.0,3.785,4.256,4.435,4.455,
W002,How windy is it in Seattle right now?,3,3,100.0,3,100.0,3,100.0,3.586,3.686,4.229,4.289,
W003,How will the weather be in December 2026 in Milpitas?,3,3,100.0,3,100.0,3,100.0,0.967,1.201,1.41,1.433,
W004,What is 12 times 8?,3,3,100.0,3,100.0,3,100.0,0.69,0.753,1.0,1.028,
W005,What is the current weather in NotARealCity12345?,3,3,100.0,3,100.0,3,100.0,2.649,2.651,3.146,3.201,
W006,Is it raining in New York City?,3,3,100.0,3,100.0,3,100.0,3.442,4.026,4.588,4.65,
W007,Will flights get canceled in Los Angeles due to weather?,3,3,100.0,3,100.0,3,100.0,1.292,1.384,1.499,1.512,
W008,What is the weather like in India?,3,3,100.0,3,100.0,3,100.0,0.82,1.046,1.299,1.327,
W009,When is the next meteor shower in Chicago?,3,3,100.0,3,100.0,3,100.0,1.231,1.423,3.452,3.678,
W010,Should I celebrate my birthday in Hawaii in November?,3,3,100.0,2,66.7,2,66.7,3.072,3.561,4.953,5.108,1
W011,Should I celebrate my birthday in Honolulu in August of next year?,3,3,100.0,3,100.0,3,100.0,1.626,2.047,2.117,2.125,
W012,Should I celebrate my birthday in Tokyo in August 2026?,3,3,100.0,3,100.0,3,100.0,1.047,1.465,1.766,1.8,
W013,Is it high tide in Miami right now?,3,3,100.0,3,100.0,3,100.0,0.984,1.206,1.318,1.33,
W014,Should I celebrate my birthday in Taipei one month from now?,3,3,100.0,3,100.0,3,100.0,1.639,1.678,2.472,2.56,
W015,Should I celebrate my birthday in Reykjavík 10 days from now?,3,3,100.0,3,100.0,3,100.0,1.512,1.84,1.843,1.843,
